Python,Java,C++,JavaScript,C#,PHP,Ruby,Swift,Go,Rust,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,Personal_Interests,Internship_Experience,Certifications_Training,Leadership_Experience,Career_Goals
3,2,3,7,4,3,1,4,2,4,2,3,4,9,2,3,4,1,3,Research,No,Yes,No,angular
2,2,4,4,4,3,2,2,3,1,8,1,9,1,4,3,2,3,7,Design,Yes,No,No,docker
3,4,9,2,1,3,1,2,1,2,8,3,3,4,4,9,1,3,2,Coding,Yes,Yes,No,cpp
1,2,2,1,4,2,3,2,2,1,3,9,3,2,3,3,2,7,1,Research,Yes,Yes,No,sql
4,9,8,2,2,3,1,4,1,3,4,1,2,3,1,9,1,2,4,Research,Yes,No,No,computer-science
9,3,1,2,4,2,4,2,4,3,2,7,3,3,3,9,3,2,2,Management,No,No,No,ai-data-scientist
7,3,3,3,4,3,2,4,3,3,7,4,8,3,4,2,1,3,2,Design,Yes,Yes,No,mlops
3,2,1,2,2,3,1,4,2,1,1,1,8,1,1,9,3,2,7,Design,Yes,No,No,cyber-security
2,1,8,2,4,2,2,4,9,2,3,2,4,2,4,7,4,3,2,Research,No,No,No,blockchain
1,1,1,3,1,1,1,1,2,4,3,1,7,2,2,8,1,4,1,Design,Yes,Yes,No,linux
1,2,4,1,3,1,1,4,4,3,3,1,9,4,3,8,1,1,9,Design,Yes,No,No,cyber-security
7,4,4,2,4,3,3,1,1,2,8,8,2,2,4,4,4,1,3,Coding,No,Yes,No,backend
9,1,2,1,3,1,3,3,1,3,4,2,9,1,1,9,3,3,3,Management,No,Yes,No,ai-red-teaming
1,3,1,4,3,2,1,3,4,3,7,2,8,2,2,8,2,1,1,Management,Yes,No,No,system-design
2,1,4,4,3,2,3,1,4,4,7,2,8,4,2,2,3,3,7,Management,No,Yes,No,docker
8,4,2,4,2,4,4,1,2,1,1,8,3,4,1,2,3,8,3,Research,Yes,Yes,No,data-analyst
4,3,1,1,2,1,3,1,4,1,7,4,8,2,3,9,3,2,2,Research,Yes,No,No,system-design
4,2,9,2,2,4,1,2,2,3,2,4,1,1,3,8,1,4,4,Management,Yes,Yes,No,game-developer
3,8,3,3,2,1,4,2,1,4,9,4,4,3,1,2,2,3,8,Coding,Yes,No,No,android
4,1,3,7,1,4,2,2,1,3,3,2,3,9,4,1,3,1,7,Management,Yes,No,No,react
8,4,3,8,1,1,3,1,3,1,4,8,3,8,3,4,2,4,4,Coding,Yes,Yes,No,full-stack
3,3,4,2,1,4,3,1,3,8,7,2,2,4,2,8,4,3,4,Design,No,Yes,No,rust
4,3,3,1,1,2,2,1,2,3,8,4,7,4,2,7,3,4,4,Research,Yes,No,No,system-design
4,1,2,9,1,2,3,3,2,1,9,7,4,2,2,3,1,1,4,Management,No,No,No,nodejs
3,3,4,3,2,2,1,2,2,2,1,3,7,3,2,2,2,3,8,Coding,Yes,Yes,No,aws
4,4,4,7,1,3,4,3,4,1,8,8,2,1,3,2,4,3,1,Research,Yes,No,No,nodejs
2,1,4,1,1,3,1,2,4,9,9,4,3,2,4,9,3,1,4,Coding,Yes,Yes,No,rust
4,4,1,4,4,2,2,1,3,3,2,2,1,2,4,7,2,9,1,Research,Yes,Yes,No,qa
2,4,3,8,3,1,2,1,1,1,3,8,2,4,1,3,2,4,2,Research,No,Yes,No,mongodb
1,1,3,9,1,2,4,1,1,3,1,3,9,3,4,2,3,2,8,Coding,Yes,Yes,No,cloudflare
9,1,1,4,2,3,2,2,1,1,9,1,2,1,4,1,3,3,4,Research,Yes,No,No,ai-engineer
2,4,2,2,2,4,4,3,3,3,4,2,7,2,4,8,4,3,9,Management,No,Yes,No,cyber-security
2,3,1,2,4,8,1,3,4,2,2,8,3,9,3,2,3,1,2,Coding,No,Yes,No,php
3,1,3,7,4,1,3,4,2,1,4,4,3,7,4,4,4,1,3,Design,No,Yes,No,angular
1,2,4,8,3,2,4,4,3,4,2,3,2,8,3,3,4,4,3,Design,Yes,No,No,typescript
3,2,2,3,1,4,1,4,3,9,9,3,4,3,1,7,3,4,3,Research,Yes,Yes,No,rust
3,2,3,2,3,4,2,2,1,1,1,1,9,4,3,4,2,2,9,Design,Yes,No,No,aws
3,2,1,3,3,4,1,1,2,3,7,2,8,2,4,4,4,4,8,Management,Yes,No,No,docker
3,3,2,4,4,2,3,3,1,3,2,1,9,3,1,3,1,1,8,Coding,No,No,No,aws
3,4,3,4,1,2,2,4,2,3,7,1,9,3,1,3,3,1,8,Research,Yes,No,No,kubernetes
1,2,2,3,1,3,4,4,3,3,3,2,7,3,1,2,2,3,9,Design,No,Yes,No,aws
3,4,9,3,3,3,3,4,1,3,7,1,3,1,3,8,2,2,4,Management,Yes,Yes,No,cpp
4,2,1,7,3,2,3,3,2,3,9,9,1,1,2,2,1,3,2,Design,Yes,No,No,nodejs
2,3,1,3,3,3,1,4,3,4,2,4,8,2,1,9,1,4,1,Coding,No,Yes,No,linux
3,4,1,4,2,2,3,4,4,3,8,1,8,1,1,3,3,3,7,Research,Yes,No,No,kubernetes
1,7,9,2,4,1,2,3,2,2,2,1,4,3,1,9,2,2,3,Management,Yes,Yes,No,computer-science
9,1,2,3,4,4,4,3,1,2,3,9,4,1,3,1,4,9,1,Design,Yes,Yes,No,data-analyst
1,4,7,1,1,4,3,1,1,4,2,4,3,2,4,7,1,1,3,Management,No,No,No,game-developer
2,2,4,7,3,1,4,1,3,3,2,3,8,2,3,1,1,1,9,Design,Yes,No,No,cloudflare
4,4,9,4,3,2,1,1,9,3,4,3,3,2,1,9,2,1,3,Research,No,No,No,blockchain
4,8,1,4,3,4,3,2,4,3,9,1,3,2,3,1,4,1,9,Research,Yes,No,No,android
1,4,4,3,4,4,1,2,4,1,1,2,3,2,8,1,2,4,7,Research,No,No,No,ux-design
1,3,8,3,1,2,1,2,2,3,7,2,3,1,2,7,3,1,3,Research,No,No,No,cpp
4,3,3,3,3,3,4,1,3,3,3,3,8,3,3,8,4,3,9,Design,No,No,No,cyber-security
3,3,4,1,1,2,4,2,3,1,7,4,9,4,3,8,1,2,4,Coding,Yes,Yes,No,system-design
1,4,2,4,1,1,3,4,2,4,1,4,2,2,4,9,3,8,2,Management,No,Yes,No,qa
4,1,3,2,9,2,1,3,3,2,9,8,4,2,1,3,4,3,2,Coding,No,No,No,aspnet-core
3,2,2,1,4,7,3,4,2,3,1,9,1,9,1,3,4,1,1,Coding,No,No,No,php
1,1,1,4,3,4,4,3,4,1,2,1,4,3,9,4,2,7,2,Design,Yes,No,No,technical-writer
3,3,2,2,2,2,3,4,4,1,4,9,1,4,1,4,2,9,2,Management,No,No,No,sql
1,2,3,8,4,3,1,2,1,4,8,3,1,2,3,4,1,4,9,Management,No,Yes,No,react-native
2,4,2,2,3,4,4,2,2,4,4,4,8,4,2,8,4,3,4,Coding,No,Yes,No,linux
2,3,1,1,2,2,2,4,1,3,1,2,4,3,8,1,3,3,8,Coding,Yes,No,No,ux-design
9,4,1,1,4,3,2,3,4,1,4,2,1,2,3,9,3,2,3,Design,No,Yes,No,ai-agents
1,2,3,3,4,4,1,3,3,4,3,4,3,4,7,4,1,7,3,Coding,Yes,Yes,No,technical-writer
2,3,2,4,1,3,3,3,4,4,4,7,4,1,2,4,2,7,2,Research,No,No,No,sql
9,2,4,3,1,1,3,1,1,2,2,9,2,2,2,2,3,9,1,Management,No,Yes,No,data-analyst
4,4,1,7,2,1,1,4,4,3,4,1,4,7,2,4,1,4,3,Design,Yes,Yes,No,typescript
1,4,3,2,3,2,3,1,1,2,3,3,3,3,7,2,2,7,2,Management,No,Yes,No,technical-writer
4,1,2,8,2,1,4,4,1,1,9,3,2,2,1,4,3,3,9,Coding,No,No,No,react-native
8,1,3,1,4,4,3,1,2,4,8,9,1,2,4,2,4,3,3,Coding,Yes,No,No,backend
2,3,4,1,2,1,3,2,3,1,1,4,2,3,8,4,8,1,2,Coding,Yes,Yes,No,devrel
1,4,3,1,4,1,2,2,3,1,2,3,9,3,2,9,1,4,8,Coding,No,No,No,cyber-security
1,1,4,1,4,1,4,1,2,4,1,2,3,1,7,1,3,9,1,Management,No,No,Yes,product-manager
9,4,2,3,1,3,3,1,4,3,2,7,3,1,1,8,2,1,1,Research,Yes,Yes,No,ai-data-scientist
2,1,1,7,3,4,1,1,3,2,4,8,4,2,4,2,2,3,2,Management,Yes,No,No,mongodb
4,1,4,3,3,2,2,1,1,2,2,7,2,1,3,1,1,7,4,Research,No,Yes,No,sql
3,2,9,1,1,2,1,2,8,4,4,3,2,1,1,9,2,4,3,Management,Yes,No,No,blockchain
8,4,4,4,4,1,4,1,3,2,7,7,2,1,3,3,4,1,2,Management,Yes,No,No,backend
1,3,1,7,3,3,2,1,1,1,1,4,3,8,3,1,1,1,4,Management,No,No,No,typescript
3,3,3,3,1,2,1,3,4,3,4,3,3,2,4,9,1,9,4,Management,Yes,No,No,qa
1,4,3,1,1,4,4,3,1,2,9,4,8,3,3,9,4,4,1,Design,Yes,Yes,No,system-design
7,3,2,1,3,1,1,4,4,3,8,4,7,4,1,2,4,2,2,Research,No,Yes,No,mlops
3,2,3,1,2,2,2,4,2,2,3,8,2,2,1,2,2,9,2,Coding,Yes,Yes,No,redis
7,3,1,3,1,4,3,4,4,2,7,9,3,1,3,3,1,4,2,Research,Yes,Yes,No,backend
4,1,2,1,4,3,4,2,2,2,7,3,9,1,3,9,3,2,1,Research,No,No,No,system-design
1,4,8,2,4,1,3,2,2,4,4,4,4,1,3,9,2,1,4,Design,No,Yes,No,game-developer
2,3,1,7,3,4,3,3,3,4,7,4,3,3,2,4,2,3,8,Research,Yes,Yes,No,react-native
1,9,3,4,1,4,3,4,1,4,9,2,1,4,1,2,4,1,8,Design,No,Yes,No,android
4,1,2,3,2,7,4,3,3,4,1,7,3,8,4,2,1,3,2,Management,No,No,No,php
4,2,1,2,1,1,4,1,1,1,2,3,3,3,7,3,3,3,9,Design,Yes,No,No,ux-design
2,4,4,4,2,8,4,3,4,3,3,7,4,7,4,1,3,3,2,Design,No,No,No,php
4,2,2,9,1,1,2,2,1,2,3,4,4,7,3,4,2,4,4,Management,Yes,No,No,frontend
4,1,3,8,4,3,3,3,4,2,2,1,9,2,4,1,4,2,8,Coding,No,No,No,cloudflare
4,2,4,3,2,9,2,4,4,3,3,7,1,9,2,3,3,3,2,Management,No,Yes,No,php
4,3,7,2,1,4,2,3,1,3,8,1,4,2,4,7,3,1,2,Management,Yes,Yes,No,cpp
4,2,1,3,3,2,3,4,3,4,4,1,1,4,9,1,9,3,2,Research,No,Yes,No,devrel
2,4,1,1,2,4,1,3,3,9,7,4,2,4,4,7,4,4,1,Design,No,Yes,No,rust
7,1,2,1,2,1,2,2,2,4,9,4,1,1,2,7,1,4,1,Coding,No,Yes,No,python
7,3,2,3,4,2,1,4,1,1,8,3,7,1,4,3,1,4,2,Management,No,No,No,mlops
1,4,2,2,4,9,2,1,2,4,1,8,1,7,4,4,1,1,2,Coding,Yes,No,No,php
3,2,4,9,2,3,2,1,4,4,4,2,4,7,2,2,2,4,8,Management,Yes,No,No,react
2,1,1,1,1,2,4,4,2,3,3,4,4,4,8,4,3,7,2,Coding,No,No,No,technical-writer
3,3,3,2,1,9,1,4,2,3,1,9,1,7,1,2,2,1,4,Research,No,Yes,No,php
3,3,4,9,3,2,4,4,2,2,4,1,1,9,4,2,4,2,9,Research,No,No,No,vue
7,4,3,4,1,4,2,1,3,4,3,7,4,2,1,1,1,7,2,Management,Yes,Yes,No,data-analyst
8,1,1,4,1,4,2,1,4,2,8,2,9,2,2,4,3,2,3,Design,No,Yes,No,mlops
4,9,7,3,3,1,2,4,4,3,2,1,1,2,1,8,3,4,2,Coding,No,Yes,No,computer-science
8,1,4,3,4,3,3,4,1,1,8,3,1,4,1,9,2,3,1,Research,Yes,No,No,python
4,9,4,2,2,1,2,4,2,4,7,3,4,3,2,4,4,1,8,Design,No,Yes,No,android
2,1,3,2,3,4,4,1,2,4,8,1,7,1,4,7,1,2,3,Management,No,Yes,No,system-design
9,4,1,4,4,4,2,3,2,2,8,2,9,1,4,3,3,2,1,Coding,Yes,Yes,No,mlops
1,2,3,2,4,8,4,1,2,4,2,9,4,8,3,2,3,3,2,Coding,Yes,Yes,No,php
2,4,7,3,4,4,1,4,7,2,3,4,1,2,4,7,2,4,1,Research,Yes,Yes,No,blockchain
1,2,4,9,4,2,1,4,1,4,2,2,4,8,2,3,1,3,7,Management,Yes,No,No,vue
3,1,7,1,4,1,4,1,7,3,3,4,4,4,2,8,2,1,4,Management,Yes,No,No,blockchain
8,1,2,2,4,2,2,4,3,4,8,4,8,4,1,4,2,3,1,Management,No,Yes,No,mlops
1,2,3,4,2,3,4,1,1,1,3,1,4,2,7,3,4,7,2,Management,No,Yes,No,technical-writer
2,1,1,9,1,2,4,3,3,4,7,1,2,4,3,3,4,4,9,Design,Yes,No,No,react-native
1,3,1,4,2,2,1,3,4,3,1,2,1,1,8,1,4,3,8,Coding,Yes,Yes,No,ux-design
8,2,2,4,3,2,2,1,2,3,8,2,2,3,2,3,1,4,1,Research,No,Yes,No,ai-engineer
7,1,4,3,3,3,2,1,2,3,9,9,1,3,2,2,4,3,3,Design,Yes,Yes,No,backend
9,2,1,4,1,4,3,4,3,2,7,7,2,3,3,1,2,4,3,Design,Yes,No,No,backend
3,3,3,7,3,4,2,1,1,1,1,7,1,4,3,1,3,4,1,Design,No,No,No,mongodb
4,1,3,3,1,2,4,2,1,1,1,3,7,4,3,3,3,1,7,Design,Yes,Yes,No,aws
3,4,1,3,4,4,2,3,4,1,7,4,8,1,4,4,3,3,9,Coding,Yes,No,No,kubernetes
2,2,4,2,2,1,4,4,4,3,2,2,1,4,7,2,8,4,4,Management,Yes,Yes,Yes,engineering-manager
2,3,4,3,1,2,1,3,4,3,3,4,4,2,1,8,4,8,4,Coding,Yes,No,No,qa
3,3,8,3,4,2,4,2,9,4,4,1,1,4,2,7,4,3,3,Management,Yes,Yes,No,blockchain
1,3,3,7,1,3,4,2,1,2,1,7,2,4,1,2,3,4,2,Research,Yes,No,No,mongodb
8,1,3,2,4,1,4,2,4,3,7,4,4,2,4,8,1,3,4,Design,No,Yes,No,python
1,3,3,4,2,4,1,4,1,3,1,9,1,4,1,2,3,7,4,Design,No,No,No,redis
4,3,4,3,4,4,3,3,1,3,7,2,7,4,1,4,4,2,9,Management,Yes,No,No,terraform
2,4,3,2,4,4,2,2,2,9,8,3,3,2,2,7,3,3,2,Research,Yes,No,No,rust
3,4,2,3,4,1,2,2,2,2,2,3,2,2,3,8,3,9,4,Coding,Yes,No,No,qa
3,1,1,3,4,4,3,2,3,2,7,2,7,2,2,4,3,2,7,Coding,Yes,No,No,docker
3,4,2,7,4,1,4,4,3,3,1,3,1,9,4,3,2,4,2,Management,Yes,No,No,angular
1,3,3,3,1,3,3,4,4,3,3,4,9,2,4,9,4,3,2,Coding,No,No,No,linux
1,3,4,7,1,4,3,2,1,2,4,2,2,8,2,4,1,1,3,Design,Yes,No,No,frontend
4,4,3,3,1,4,4,4,1,1,8,1,9,2,4,3,2,3,7,Coding,Yes,No,No,kubernetes
2,1,3,4,1,4,2,2,2,2,4,1,3,1,7,3,4,3,7,Coding,Yes,No,No,ux-design
3,2,1,2,2,2,3,2,1,1,3,3,4,2,7,3,3,3,7,Coding,No,Yes,No,ux-design
2,1,3,4,3,2,1,3,2,1,1,3,3,2,8,1,2,8,3,Coding,No,No,Yes,product-manager
7,3,4,4,4,3,3,1,4,1,9,4,3,1,1,1,1,4,2,Design,No,Yes,No,ai-engineer
4,7,4,4,3,2,2,1,4,4,9,3,4,2,2,3,1,4,7,Coding,Yes,Yes,No,android
2,3,2,2,3,1,2,2,1,3,4,4,8,3,4,9,1,1,8,Design,Yes,Yes,No,cyber-security
3,3,4,7,1,3,1,2,2,2,3,4,8,4,3,1,1,3,9,Coding,Yes,No,No,cloudflare
3,1,1,4,4,3,3,3,1,4,4,4,2,4,7,1,1,8,3,Research,Yes,No,No,technical-writer
1,1,8,2,1,4,4,1,4,1,8,1,3,1,2,9,4,1,1,Coding,Yes,No,No,cpp
2,2,2,4,3,3,2,3,1,4,9,1,7,1,1,7,2,4,1,Research,No,Yes,No,system-design
3,4,1,9,3,4,1,2,3,3,4,1,4,7,2,2,3,3,9,Coding,Yes,No,No,vue
1,1,4,3,2,2,4,1,3,2,3,7,1,3,2,3,3,9,1,Coding,Yes,No,No,sql
3,9,8,2,1,4,2,1,1,2,2,3,1,1,1,9,3,1,2,Research,Yes,Yes,No,computer-science
1,2,3,1,4,2,4,3,4,2,2,3,8,3,4,7,4,1,4,Design,Yes,Yes,No,linux
3,2,1,2,2,4,1,2,1,2,7,4,8,1,3,1,1,1,8,Management,Yes,Yes,No,docker
9,3,1,2,4,4,1,2,4,4,9,7,3,1,3,2,3,4,1,Coding,No,Yes,No,backend
7,1,2,4,2,2,1,2,4,4,1,7,4,1,3,9,3,2,2,Coding,No,No,No,ai-data-scientist
1,4,3,4,4,1,4,3,4,1,8,2,9,4,3,1,4,9,1,Management,No,No,No,devops
8,1,2,8,2,2,3,2,4,1,1,7,2,8,4,3,1,1,4,Management,Yes,No,No,full-stack
4,3,4,2,7,3,1,3,4,4,8,7,4,4,1,1,3,1,4,Management,No,No,No,aspnet-core
2,4,4,2,3,2,2,2,3,2,1,7,1,1,1,1,4,9,1,Coding,Yes,Yes,No,sql
9,1,1,7,1,2,3,3,4,2,4,7,2,8,4,1,3,1,2,Coding,No,No,No,full-stack
1,2,2,9,3,4,4,2,4,1,4,1,8,4,1,3,1,4,9,Coding,Yes,No,No,cloudflare
2,1,2,7,4,4,3,2,4,2,2,9,1,4,3,2,3,4,4,Design,No,Yes,No,mongodb
3,3,4,1,2,3,2,2,4,1,1,8,3,3,3,3,4,7,4,Research,No,No,No,sql
3,3,3,8,4,1,1,1,1,1,1,1,3,8,4,3,3,3,1,Research,Yes,No,No,typescript
2,2,1,4,4,2,2,2,2,3,9,1,7,1,4,4,4,3,9,Research,No,No,No,docker
3,4,3,8,3,1,1,4,4,1,4,8,1,2,4,2,3,2,1,Design,Yes,Yes,No,mongodb
2,1,4,7,4,2,3,3,1,4,4,8,4,3,3,4,3,2,1,Coding,Yes,No,No,mongodb
3,8,4,3,3,2,4,3,2,2,7,4,1,4,3,3,3,4,8,Coding,Yes,Yes,No,android
4,2,2,4,3,2,3,4,3,3,1,1,2,3,1,8,4,9,2,Coding,Yes,Yes,No,qa
2,2,1,4,1,1,2,1,2,1,3,3,3,1,7,2,3,7,2,Coding,No,Yes,Yes,product-manager
1,4,4,3,4,2,3,2,1,9,7,2,3,4,1,9,1,4,4,Coding,Yes,Yes,No,rust
3,9,2,2,1,3,2,2,1,4,7,2,3,2,2,4,1,2,7,Research,No,Yes,No,android
9,4,1,1,1,3,3,2,2,4,9,2,4,4,4,4,1,3,4,Research,No,Yes,No,ai-engineer
7,1,1,1,2,4,1,3,4,1,8,4,4,1,3,4,3,4,1,Design,Yes,Yes,No,ai-engineer
1,1,4,3,1,8,1,1,4,2,4,8,4,8,3,2,1,2,1,Research,Yes,Yes,No,php
9,3,4,3,2,2,2,1,2,3,8,3,1,3,4,8,2,4,3,Research,No,No,No,python
3,1,1,4,2,3,3,4,3,1,1,4,1,2,2,9,3,8,4,Coding,Yes,No,No,qa
8,4,3,2,2,1,1,3,4,3,7,3,3,4,2,2,2,4,2,Design,Yes,Yes,No,ai-engineer
1,3,4,4,2,4,3,4,2,1,9,1,8,2,1,4,4,4,7,Management,Yes,No,No,kubernetes
3,3,3,4,1,4,1,2,3,2,1,4,2,2,7,2,3,8,3,Research,No,Yes,Yes,product-manager
1,3,3,4,2,1,4,2,4,1,4,3,3,4,7,3,1,2,8,Research,Yes,No,No,ux-design
7,1,1,4,2,2,3,1,2,1,9,9,2,3,3,3,4,1,3,Research,No,No,No,backend
4,4,4,1,4,3,3,1,2,4,2,4,1,2,9,3,4,7,4,Coding,Yes,No,No,technical-writer
2,3,2,7,4,1,2,3,1,1,2,2,1,8,2,3,4,2,9,Management,Yes,No,No,react
2,8,3,1,1,1,3,4,3,1,7,4,4,3,2,1,1,2,8,Coding,No,Yes,No,android
3,4,3,2,3,3,2,4,3,4,2,2,8,4,2,7,2,4,7,Coding,Yes,Yes,No,cyber-security
7,3,3,2,1,4,3,3,2,2,7,8,1,3,1,4,1,4,1,Design,Yes,No,No,backend
4,4,2,4,2,2,1,4,1,2,2,2,9,1,4,7,3,3,3,Management,No,No,No,linux
3,2,4,7,2,2,3,3,1,3,1,2,2,7,1,1,4,3,7,Design,No,Yes,No,react
3,2,2,3,1,2,4,3,3,2,1,3,2,3,9,3,3,9,3,Coding,Yes,No,No,technical-writer
7,4,4,3,1,2,1,2,2,3,8,2,9,4,4,4,4,2,3,Coding,Yes,No,No,mlops
9,1,4,3,2,3,3,4,4,3,8,4,4,2,1,3,1,1,4,Coding,Yes,Yes,No,ai-engineer
3,3,3,2,1,1,1,2,3,1,1,2,9,3,4,2,4,2,7,Coding,Yes,Yes,No,aws
9,1,1,1,4,1,2,1,2,1,1,4,1,2,3,8,4,1,3,Coding,Yes,No,No,ai-agents
7,1,3,4,1,1,3,4,1,3,4,9,3,3,3,2,3,7,1,Research,No,Yes,No,data-analyst
2,2,7,4,4,4,2,1,8,2,2,3,4,2,2,8,2,1,4,Research,Yes,No,No,blockchain
8,4,4,1,3,2,3,2,3,1,3,7,2,3,2,9,4,2,4,Research,No,No,No,ai-data-scientist
8,3,3,7,4,1,2,3,2,1,4,8,2,9,2,1,3,1,3,Coding,No,Yes,No,full-stack
2,8,2,3,3,4,3,1,2,2,8,1,2,1,2,4,2,3,9,Design,Yes,Yes,No,android
4,4,2,2,1,1,2,2,2,3,8,4,7,3,3,2,4,1,8,Coding,Yes,Yes,No,docker
1,1,8,2,3,3,2,1,9,1,1,4,1,2,2,8,3,1,3,Design,No,Yes,No,blockchain
2,3,1,8,2,3,1,2,1,1,3,3,8,4,2,4,3,3,9,Management,Yes,Yes,No,cloudflare
8,4,3,8,4,2,1,4,4,1,2,9,1,8,4,3,2,1,2,Research,Yes,No,No,full-stack
7,2,2,3,3,1,1,1,4,2,1,3,7,3,3,7,1,3,1,Research,No,Yes,No,ai-red-teaming
3,3,7,2,2,1,2,2,8,1,1,1,4,4,4,8,2,1,4,Research,No,Yes,No,blockchain
9,4,1,2,4,3,1,2,2,1,9,4,3,4,1,9,3,2,1,Design,No,No,No,python
4,1,3,3,2,3,1,1,4,4,1,8,4,1,4,2,3,9,4,Research,Yes,Yes,No,redis
8,2,1,3,2,2,3,2,2,1,4,8,2,2,1,4,2,9,1,Management,Yes,Yes,No,data-analyst
2,1,3,9,3,4,2,1,4,1,1,2,1,8,3,4,3,4,9,Coding,Yes,Yes,No,react
1,3,4,8,2,3,1,3,2,3,4,3,1,9,1,4,3,1,3,Coding,No,Yes,No,typescript
8,4,1,9,4,4,4,1,2,1,4,8,1,9,1,3,3,4,4,Design,Yes,Yes,No,full-stack
1,7,8,1,1,4,3,2,2,4,2,1,4,4,4,8,2,3,4,Coding,Yes,Yes,No,computer-science
8,4,1,4,2,4,1,2,4,1,2,2,8,4,4,8,4,4,3,Management,Yes,No,No,ai-red-teaming
1,1,2,7,3,2,3,1,1,1,2,4,4,8,1,1,3,1,4,Coding,No,No,No,typescript
4,2,1,4,3,2,1,2,3,1,4,9,2,1,2,1,3,9,4,Research,Yes,No,No,redis
2,1,2,4,3,2,3,2,1,4,2,4,8,2,4,2,1,2,7,Design,No,Yes,No,aws
1,3,4,9,1,3,1,1,4,4,2,4,4,7,4,2,3,2,2,Research,Yes,Yes,No,typescript
8,1,1,1,4,2,1,2,4,3,1,1,4,1,4,8,1,2,2,Design,Yes,Yes,No,ai-agents
3,1,9,4,2,2,4,2,4,2,7,1,4,2,2,8,1,1,2,Coding,No,Yes,No,cpp
9,3,3,3,3,1,1,3,2,2,8,2,4,4,2,1,4,4,2,Coding,No,Yes,No,ai-engineer
4,3,3,2,1,2,1,4,4,1,3,3,7,3,4,1,1,4,7,Coding,Yes,No,No,aws
3,3,2,2,2,2,2,4,2,4,8,1,7,3,2,1,2,1,8,Design,No,No,No,kubernetes
3,3,9,1,2,4,1,4,9,2,1,3,2,3,2,7,1,2,4,Research,No,No,No,blockchain
2,1,2,7,4,1,2,2,3,2,1,4,4,7,2,3,1,3,8,Research,Yes,Yes,No,react
3,3,4,1,3,2,2,3,4,2,1,7,1,2,1,1,1,8,1,Management,No,Yes,No,sql
4,1,3,8,3,2,3,2,4,3,3,3,4,7,3,1,1,1,1,Research,Yes,No,No,angular
8,2,4,1,3,3,4,2,2,4,3,1,4,2,1,7,3,1,1,Design,Yes,Yes,No,ai-agents
9,2,3,9,1,1,3,2,1,2,1,8,2,9,4,3,1,4,4,Design,No,No,No,full-stack
1,2,3,9,4,3,2,3,1,4,4,2,4,8,3,4,1,4,9,Management,Yes,No,No,vue
9,3,1,3,1,2,3,1,1,2,3,8,1,2,4,1,4,9,1,Design,No,No,No,data-analyst
9,1,4,4,2,1,1,4,1,4,7,2,3,2,2,7,4,1,3,Research,Yes,Yes,No,python
8,1,3,4,2,2,1,1,3,2,9,4,3,4,3,8,3,4,1,Design,Yes,Yes,No,python
2,2,2,9,1,4,1,3,4,3,3,1,1,9,2,3,2,3,3,Research,No,Yes,No,frontend
1,3,2,3,1,2,4,4,2,3,1,8,1,1,1,3,2,8,3,Management,Yes,No,No,sql
1,4,3,1,1,3,2,3,1,2,1,4,3,2,8,1,7,1,1,Coding,No,No,No,devrel
3,7,9,2,4,2,1,4,2,1,1,4,3,3,4,9,2,3,4,Research,No,No,No,computer-science
9,2,1,2,3,3,1,3,4,3,8,4,8,2,2,1,4,4,3,Design,No,Yes,No,mlops
9,4,3,3,2,2,1,3,1,4,3,4,4,4,2,9,2,3,2,Coding,Yes,No,No,ai-agents
1,9,2,3,3,1,3,3,3,1,9,4,4,3,4,2,4,3,8,Design,No,No,No,android
3,4,3,4,2,4,4,1,4,2,9,1,8,1,2,2,3,2,8,Coding,Yes,Yes,No,terraform
3,1,2,3,3,1,2,1,1,4,9,3,7,4,1,3,4,2,7,Management,No,No,No,docker
1,3,3,1,3,1,2,4,2,7,7,3,3,2,2,9,3,2,2,Management,Yes,Yes,No,rust
2,3,7,3,4,1,1,3,4,2,8,4,3,4,1,8,1,1,1,Management,Yes,Yes,No,cpp
4,1,9,4,3,2,3,1,3,2,7,3,4,4,3,9,1,2,2,Research,Yes,Yes,No,cpp
4,1,3,2,2,4,1,4,2,3,9,2,7,1,4,3,2,3,7,Design,Yes,Yes,No,docker
1,4,9,2,4,1,1,2,7,1,4,2,2,1,3,9,1,4,3,Research,Yes,No,No,blockchain
3,2,4,8,2,2,3,2,1,3,4,3,3,7,1,4,3,4,4,Research,Yes,No,No,typescript
1,2,4,3,4,2,4,2,1,1,1,2,1,2,8,1,4,3,8,Research,No,No,No,ux-design
3,1,2,1,1,4,1,3,2,3,4,9,1,2,1,3,4,9,3,Research,Yes,Yes,No,redis
3,4,2,2,3,3,2,1,2,1,3,1,2,1,3,8,2,7,2,Research,Yes,No,No,qa
1,2,3,2,3,2,2,3,2,4,4,2,8,4,3,3,2,2,8,Coding,Yes,No,No,aws
1,4,2,1,3,3,1,1,4,4,9,1,7,3,4,1,3,4,7,Management,Yes,Yes,No,terraform
4,4,1,4,3,4,3,2,2,2,4,7,2,3,4,1,1,8,1,Management,Yes,Yes,No,redis
1,2,1,1,1,4,3,2,2,4,1,1,1,1,8,3,7,4,3,Coding,Yes,No,No,devrel
1,4,3,3,2,2,1,2,1,1,9,3,9,4,4,2,1,1,9,Coding,Yes,No,No,kubernetes
